Name,PGC,RA,Dec,Dis,e_dis_min,e_dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
ESO269-037,PGC045916,195.8875,-46.5842,3.15,0.09,0.09,-1,744.0,2.0,-2,HI,dIrr
NGC4945,PGC045279,196.3583,-49.4711,3.72,0.03,0.03,-3,563.0,3.0,-4,HI,Scd
ESO269-058,PGC045717,197.6333,-46.9908,3.75,0.02,0.02,-1,400.0,18.0,-5,HI,dIrr
KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,753.0,4.0,-7,stars,dSph
ESO269-066,PGC045916,198.2875,-44.89,3.75,0.03,0.03,-1,784.0,31.0,-8,stars,dSph
NGC5011C,PGC045917,198.2958,-43.2656,3.73,0.03,0.03,-1,647.0,96.0,-9,stars,Tr
KKs54,PGC2815821,200.3829,-31.8864,3.75,0.1,0.1,-10,621.0,11.0,-7,stars,Tr
KK196,PGC046663,200.4458,-45.0633,3.96,0.11,0.11,-1,741.0,15.0,-11,stars,dIrr
NGC5102,PGC046674,200.4875,-36.6297,3.74,0.39,0.39,-3,464.0,18.0,-12,HI,Sa
KK197,PGC046680,200.5086,-42.5359,3.84,0.04,0.04,-1,643.0,3.0,-7,stars,dSph
KKs55,PGC2815822,200.55,-42.7311,3.85,0.07,0.07,-1,530.0,14.0,-7,stars,Sph
dw1322-39,,200.6336,-39.906,2.95,0.05,0.05,-10,656.0,10.0,-7,stars,dIrr
dw1323-40b,,200.9809,-40.8361,3.91,0.61,0.61,-10,497.0,12.0,-7,stars,dSph
dw1323-40a,,201.2233,-40.7612,3.73,0.15,0.15,-10,450.0,14.0,-7,stars,dSph
CenA,PGC046957,201.3667,-43.0167,3.68,0.05,0.05,-1,556.0,10.0,-4,HI,S00
KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,306.0,10.0,-7,stars,Tr
ESO324-024,PGC047171,201.9042,-41.4806,3.78,0.09,0.09,-1,514.0,18.0,-12,HI,Sdm
NGC5206,PGC047762,203.4292,-48.1511,3.21,0.01,0.01,-1,583.0,6.0,-13,stars,S0âˆ’
NGC5237,PGC048139,204.4083,-42.8475,3.33,0.02,0.02,-1,361.0,4.0,-4,HI,BCD
NGC5253,PGC048334,204.9792,-31.64,3.55,0.03,0.03,-3,407.0,3.0,-4,HI,Sdm
dw1341-43,,205.4032,-43.8553,3.53,0.04,0.04,-10,636.0,14.0,-7,stars,dSph
KKs57,PGC2815823,205.4079,-42.5797,3.84,0.47,0.47,-1,511.0,17.0,-7,stars,Sph
KK211,PGC048515,205.5208,-45.205,3.68,0.14,0.14,-1,600.0,31.0,-14,stars,Sph
dw1342-43,,205.6837,-43.2548,2.9,0.14,0.14,-10,510.0,8.0,-7,stars,Tr
ESO325-011,PGC048738,206.25,-41.8589,3.4,0.05,0.05,-1,544.0,1.0,-15,HI,dIrr
KKs58,PGC2815824,206.5031,-36.3289,3.36,0.1,0.1,-10,477.0,5.0,-7,stars,dSph
KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,507.0,13.0,-14,stars,dIrr
ESO383-087,PGC049050,207.325,-36.0614,3.19,0.03,0.03,-1,326.0,2.0,-4,HI,Sdm
